,Coefficient
"ТВ, охват 5+  Ж 30-60 ВС  3",0.00014550391228773663
"ТВ, рубли 3",-0.07666502147912979
"Диджитал, руб 3",8.863324183039367e-05
"ТВ спонсорство, рубли 3",0.00011874741176143289
"OOH, рубли 3",0.00015198806067928672
"Радио, рубли 4",-7.867682143114507e-05
Итого 3,-0.07694108039140701
"ТВ, trp  Ж 30-60 ВС  4",0.0002024413988692686
"ТВ, охват 5+  Ж 30-60 ВС  4",-0.00016342118033207953
"ТВ, рубли 4",0.00014383334200829268
"Диджитал, руб 4",-1.8754486441612244
"ТВ спонсорство, рубли 4",8.086810703389347e-05
"OOH, рубли 4",1.4275661669671535e-05
"Радио, рубли 5",1.264270395040512e-07
"ТВ Рег, рубли 1",-0.16003096103668213
Итого 4,-2.0864868760108948
"ТВ, trp  Ж 30-60 ВС  5",-19636.657765267628
"ТВ, охват 5+  Ж 30-60 ВС  5",348988.77858689387
"ТВ, рубли 5",15.401304930448532
"Диджитал, руб 5",2.3025990575551987
"ТВ спонсорство, рубли 5",15.402657374739647
"OOH, рубли 5",85.00337479822338
"Радио, рубли 6",17.821954250335693
"ТВ Рег, рубли 2",15.08484610915184
Итого 5,-15.49958810210228
"ТВ, trp  Ж 30-60 ВС  6",222632.24635426514
"ТВ, охват 5+  Ж 30-60 ВС  6",-2923905.4981450746
"ТВ, рубли 6",-1515.4940008819103
"Диджитал, руб 6",-1550.2718593776226
"ТВ спонсорство, рубли 6",7.450580596923828e-09
"OOH, рубли 6",4566.49174421854
"Радио, рубли 7",1.1920928955078125e-07
"ТВ Рег, рубли 3",0.0
Итого 6,1515.174409687519
"ТВ, trp  Ж 30-60 ВС  7",-109532.2817218528
"ТВ, охват 5+  Ж 30-60 ВС  7",2851908.1575078694
"ТВ, рубли 7",-4.024200946092606
"Диджитал, руб 7",-18.24888924881816
"ТВ спонсорство, рубли 7",14.45216214726679
"OOH, рубли 7",0.0
"Радио, рубли 8",0.0
Итого 7,1.4802685379981995
"ТВ, trp  Ж 30-60 ВС  8",307.60291401017275
"ТВ, охват 5+  Ж 30-60 ВС  8",-159672.08604079514
"ТВ, рубли 8",24.324805043637753
"Диджитал, руб 8",18.89048944413662
"ТВ спонсорство, рубли 8",25.249578192830086
"OOH, рубли 8",0.0
"Радио, рубли 9",0.0
"ТВ Рег, рубли 4",-26.341264225542545
Итого 8,-24.226211104542017
"ТВ, trp  Ж 30-60 ВС  9",0.0
"ТВ, охват 5+  Ж 30-60 ВС  9",0.0
"ТВ, рубли 9",0.0
"Диджитал, руб 9",-0.1830846667289734
"ТВ спонсорство, рубли 9",0.0
"OOH, рубли 9",3.922995463013649
"Радио, рубли 10",0.0
Итого 9,1.8619452714920044
"ТВ, trp  Ж 30-60 ВС  10",104343.94089139313
"ТВ, охват 5+  Ж 30-60 ВС  10",-1563205.5002200056
"ТВ, рубли 10",-30.106095492839813
"Диджитал, руб 10",-28.520605340600014
"ТВ спонсорство, рубли 10",-30.871959149837494
"OOH, рубли 10",0.0
"Радио, рубли 11",8.511766649782658
Итого 10,29.9470254778862
"ТВ, trp  Ж 30-60 ВС  11",-8804.037012611827
"ТВ, охват 5+  Ж 30-60 ВС  11",844851.7303453605
"ТВ, рубли 11",3.398793578147888
"Диджитал, руб 11",-0.91588294506073
"ТВ спонсорство, рубли 11",15.581227097660303
"OOH, рубли 11",0.0
"Радио, рубли 12",-951.9115457225125
"ТВ Рег, рубли 5",2.4216450434178114
Итого 11,-3.138987123966217
"ТВ, trp  Ж 30-60 ВС  12",15170.10433413129
"ТВ, охват 5+  Ж 30-60 ВС  12",-56943.7546109103
"ТВ, рубли 12",-81.09725144505501
"Диджитал, руб 12",-79.0030730292201
"ТВ спонсорство, рубли 12",0.0
"OOH, рубли 12",-193.97625331697054
"Радио, рубли 13",266.96476401388645
Итого 12,80.60260060429573
